Timestamp,Tg_10MinAve,Ts_0cm(raised)_10MinAve,Ts_0cm(Sunk)_10MinAve,Ts_4cm_10MinAve,Ts_10cm_10MinAve,Ts_20cm_10MinAve,Ts_40cm_10MinAve,Swc_4cm_10MinAve,Swc_20cm_10MinAve,SHF_10cm_10MinAve,SHF_20cm_10MinAve
2009/1/1 0:00,NaN,-7.53,-9.27,-7.76,-6.055,-5.987,-4.628,6.384,2.228,-9.159471366,-4.908759124
2009/1/1 1:00,NaN,-7.05,-10.08,-7.23,-7.09,-5.557,-5.298,6.318,2.228,-9.520704846,-5.694525547
2009/1/1 2:00,NaN,-8.65,-9.27,-8.34,-6.272,-6.482,-4.445,6.318,2.228,-9.440088106,-6.345985401
2009/1/1 3:00,NaN,-7.15,-10.06,-7.35,-7.56,-5.749,-5.419,6.319,2.195,-9.135682819,-6.723357664
2009/1/1 4:00,NaN,-7.89,-9.74,-7.83,-7.2,-6.549,-4.777,6.285,2.195,-9.063436123,-6.905109489
2009/1/1 5:00,NaN,-8.44,-9.73,-8.61,-6.937,-6.785,-4.602,6.285,2.195,-9.016299559,-7.058759124
2009/1/1 6:00,NaN,-8.82,-9.91,-8.74,-7.01,-6.794,-4.605,6.285,2.195,-9.170044053,-7.304379562
2009/1/1 7:00,NaN,-7.94,-11.26,-8.25,-7.83,-6.184,-5.275,6.252,2.195,-10.33876652,-7.571167883
2009/1/1 8:00,NaN,-9.11,-10.55,-8.89,-7.47,-6.863,-4.982,6.252,2.128,-10.34317181,-8.040510949
2009/1/1 9:00,NaN,-8.3,-11.02,-8.62,-8.07,-6.444,-5.366,6.251,2.128,-10.07929515,-8.474817518
2009/1/1 10:00,NaN,-9.78,-8.71,-9.66,-7.43,-7.54,-4.482,6.252,2.128,-9.611453744,-8.724087591
2009/1/1 11:00,NaN,-7.85,-5.937,-7.93,-7.84,-7.08,-5.047,6.307,2.136,-5.092951542,-8.320437956
2009/1/1 12:00,NaN,-5.439,-3.03,-6.35,-7.74,-6.19,-5.516,6.384,2.128,1.098678414,-6.650364964
2009/1/1 13:00,NaN,-4.769,-1.066,-5.235,-7.11,-6.082,-5.707,6.483,2.194,5.478414097,-3.91459854
2009/1/1 14:00,NaN,-3.25,5.16,-3.866,-5.846,-6.276,-5.254,6.714,2.194,13.11674009,-1.197445255
2009/1/1 15:00,NaN,-2.619,7.97,-2.493,-3.733,-6.018,-4.985,7.31,2.226,23.21982379,2.958394161
2009/1/1 16:00,NaN,-2.195,-1.092,-2.033,-3.945,-4.698,-5.63,7.18,2.292,18.40572687,7.045985401
2009/1/1 17:00,NaN,-4.304,-1.735,-3.623,-3.09,-5.28,-4.639,6.978,2.326,10.37092511,7.186131387
