Timestamp,Tg_10MinAve,Ts_0cm(raised)_10MinAve,Ts_0cm(Sunk)_10MinAve,Ts_4cm_10MinAve,Ts_10cm_10MinAve,Ts_20cm_10MinAve,Ts_40cm_10MinAve,Swc_4cm_10MinAve,Swc_20cm_10MinAve,SHF_10cm_10MinAve,SHF_20cm_10MinAve
2007/1/1 0:00,NAN,-9.6,-12.88,-6.874,-4.616,-3.581,-3.216,3.723,2.327,-14.41453744,-5.078467153
2007/1/1 1:00,NAN,-9.94,-13.45,-7.43,-5.159,-3.773,-3.221,3.624,2.261,-15.32599119,-7.31350365
2007/1/1 2:00,NAN,-10.33,-13.29,-7.73,-5.52,-4.237,-3.232,3.591,2.228,-15.24405286,-9.051094891
2007/1/1 3:00,NAN,-11.23,-14.18,-8.53,-5.837,-4.576,-3.123,3.492,2.195,-16.39030837,-10.24817518
2007/1/1 4:00,NAN,-11.31,-14.12,-8.9,-6.157,-4.906,-3.152,3.427,2.162,-16.46079295,-11.48284672
2007/1/1 5:00,NAN,-11.62,-14.88,-9,-6.678,-5.106,-3.339,3.392,2.128,-16.18237885,-12.27116788
2007/1/1 6:00,NAN,-12.59,-16.28,-9.65,-6.879,-5.302,-3.401,3.324,2.061,-16.64845815,-12.92810219
2007/1/1 7:00,NAN,-12.94,-16.95,-10.08,-7.7,-5.313,-3.71,3.226,2.062,-18.76299559,-13.86824818
2007/1/1 8:00,NAN,-14.2,-17.65,-10.95,-7.73,-6.102,-3.362,3.127,1.996,-19.02511013,-15.10072993
2007/1/1 9:00,NAN,-14.27,-18.28,-11.24,-8.27,-6.008,-3.739,3.094,1.963,-19.39911894,-16.26715328
2007/1/1 10:00,NAN,-12.09,-8.08,-10.29,-8.62,-6.337,-3.733,3.227,1.93,-15.9660793,-17.13613139
2007/1/1 11:00,NAN,-6.713,2.118,-7.29,-8.08,-6.329,-3.992,3.558,1.929,-3.537885463,-15.43138686
2007/1/1 12:00,NAN,-0.325,12.85,-3.649,-6.579,-6.343,-3.916,4.187,1.927,10.48061674,-10.14087591
2007/1/1 13:00,NAN,4.881,18.5,-0.377,-4.68,-5.711,-4.011,5.613,1.993,21.58502203,-2.686861314
2007/1/1 14:00,NAN,6.162,15.73,1.315,-3.084,-4.958,-3.995,6.606,2.058,24.57268722,3.833211679
2007/1/1 15:00,NAN,6.632,14.1,1.676,-2.242,-4.103,-4.132,6.905,2.191,22.75198238,8.105109489
2007/1/1 16:00,NAN,5.691,11.25,1.589,-1.741,-3.488,-4.017,7.07,2.258,19.94581498,10.09051095
2007/1/1 17:00,NAN,3.13,5.901,0.805,-1.423,-3.017,-3.938,7.01,2.324,17.31629956,10.77007299
2007/1/1 18:00,NAN,0.072,-0.915,-0.297,-1.126,-2.724,-3.743,6.906,2.391,14.71365639,10.73394161
2007/1/1 19:00,NAN,-3.661,-6.295,-1.585,-1.455,-2.498,-3.649,5.977,2.424,11.72863436,10.0419708
2007/1/1 20:00,NAN,-7.06,-10.73,-3.574,-1.866,-2.453,-3.392,4.716,2.424,6.137004405,8.433941606
2007/1/1 21:00,NAN,-8.41,-12.42,-4.868,-2.728,-2.535,-3.38,4.121,2.426,-4.931277533,4.959854015
2007/1/1 22:00,NAN,-9.86,-13.32,-6.281,-3.368,-3.085,-2.987,3.822,2.426,-12.02687225,0.559489051
2007/1/1 23:00,NAN,-10.28,-14.66,-6.815,-4.414,-3.089,-3.236,3.657,2.394,-15.71321586,-3.428832117
2007/1/2 0:00,NAN,-11.22,-15.89,-7.71,-5.171,-3.423,-3.276,3.525,2.328,-18.30264317,-6.797080292
2007/1/2 1:00,NAN,-12.55,-16.52,-9.03,-5.421,-4.2,-2.874,3.393,2.262,-20.21718062,-9.662773723
2007/1/2 2:00,NAN,-12.87,-17.47,-9.42,-6.33,-4.239,-3.141,3.293,2.229,-21.47356828,-12.09890511
2007/1/2 3:00,NAN,-13.5,-18.17,-10.07,-6.943,-4.793,-3.219,3.094,2.163,-22.14669604,-14.02481752
2007/1/2 4:00,NAN,-14.22,-18.34,-10.79,-7.3,-5.33,-3.106,3.028,2.13,-22.57400881,-15.6310219
2007/1/2 5:00,NAN,-14.49,-18.92,-11.21,-7.95,-5.494,-3.398,2.995,2.064,-22.4876652,-16.71386861
2007/1/2 6:00,NAN,-14.49,-19.18,-11.5,-8.56,-5.715,-3.579,2.896,1.964,-22.27444934,-17.77627737
2007/1/2 7:00,NAN,-14.84,-18.45,-11.91,-8.63,-6.419,-3.394,2.896,1.964,-21.15066079,-18.51678832
2007/1/2 8:00,NAN,-14.95,-18.18,-12.1,-8.86,-6.775,-3.463,2.863,1.964,-20.22687225,-18.94270073
2007/1/2 9:00,NAN,-14.59,-18.78,-12,-9.5,-6.628,-3.944,2.863,1.864,-19.65154185,-19.1729927
2007/1/2 10:00,NAN,-12.86,-11.41,-11.27,-9.55,-6.874,-3.997,2.929,1.797,-16.52687225,-19.29963504
2007/1/2 11:00,NAN,-7.76,1.303,-8.65,-8.81,-7.17,-3.922,3.327,1.863,-6.321145374,-17.61313869
2007/1/2 12:00,NAN,-1.377,9.44,-4.774,-7.44,-6.956,-4.095,3.79,1.862,7.995594714,-12.44416058
2007/1/2 13:00,NAN,2.42,12.2,-2.164,-5.702,-6.343,-4.226,4.286,1.927,17.8907489,-5.128467153
2007/1/2 14:00,NAN,4.008,13.19,-0.633,-4.206,-5.653,-4.209,5.048,1.96,21.47885463,1.061313869
2007/1/2 15:00,NAN,4.952,12.32,0.37,-3.059,-4.895,-4.251,5.911,2.125,21.7969163,5.515693431
2007/1/2 16:00,NAN,3.713,8.46,0.459,-2.355,-4.24,-4.167,6.209,2.191,20.0154185,8.333576642
2007/1/2 17:00,NAN,2.779,5.569,0.365,-1.934,-3.678,-4.103,6.375,2.224,17.8123348,9.659489051
2007/1/2 18:00,NAN,0.922,1.398,-0.017,-1.739,-3.257,-3.93,6.274,2.257,15.41277533,10.06569343
2007/1/2 19:00,NAN,-2.569,-3.948,-1.363,-1.682,-3.04,-3.771,5.511,2.324,11.99515419,9.708394161
2007/1/2 20:00,NAN,-5.42,-7.87,-3.175,-2.023,-2.898,-3.621,4.447,2.39,5.254625551,8.168978102
2007/1/2 21:00,NAN,-7.25,-10.54,-4.372,-2.838,-2.952,-3.58,4.053,2.392,-2.819823789,4.989051095
2007/1/2 22:00,NAN,-8.04,-11.82,-5.375,-3.644,-3.054,-3.566,3.821,2.392,-8.929515419,1.158759124
2007/1/2 23:00,NAN,-7.42,-9.35,-5.97,-4.109,-3.46,-3.334,3.723,2.327,-11.22026432,-2.342335766
2007/1/3 0:00,NAN,-6.734,-8.67,-5.632,-4.643,-3.559,-3.403,3.719,2.324,-9.601321586,-4.477007299
2007/1/3 1:00,NAN,-7.2,-9.43,-5.901,-4.8,-3.941,-3.271,3.657,2.261,-9.192951542,-5.394890511
2007/1/3 2:00,NAN,-7.57,-9.21,-6.304,-4.868,-4.096,-3.235,3.624,2.261,-9.537004405,-6.153284672
2007/1/3 3:00,NAN,-7.85,-9.96,-6.483,-5.213,-4.206,-3.322,3.59,2.227,-9.838325991,-6.80620438
2007/1/3 4:00,NAN,-8.46,-11.66,-6.88,-5.529,-4.36,-3.405,3.457,2.227,-11.04273128,-7.459124088
2007/1/3 5:00,NAN,-8.78,-10.69,-7.38,-5.56,-4.594,-3.27,3.457,2.161,-11.67885463,-8.366788321
2007/1/3 6:00,NAN,-8.76,-11.44,-7.36,-6.024,-4.56,-3.483,3.391,2.161,-11.57092511,-8.986861314
2007/1/3 7:00,NAN,-9.52,-12.38,-7.89,-6.208,-4.81,-3.47,3.259,2.195,-12.46167401,-9.528467153
2007/1/3 8:00,NAN,-9.49,-12.4,-8.04,-6.465,-4.943,-3.51,3.292,2.128,-12.72378855,-10.15875912
2007/1/3 9:00,NAN,-9.09,-10.8,-8.08,-6.568,-5.244,-3.508,3.259,2.062,-11.97268722,-10.61386861
2007/1/3 10:00,NAN,-7.93,-4.337,-7.47,-6.396,-5.442,-3.448,3.425,2.061,-8.640088106,-10.53430657
2007/1/3 11:00,NAN,-3.535,3.279,-5.043,-6.057,-5.155,-3.708,3.722,2.06,0.423788546,-8.880656934
2007/1/3 12:00,NAN,-0.121,7.78,-2.783,-4.874,-5.066,-3.689,4.086,2.126,9.597797357,-4.741970803
2007/1/3 13:00,NAN,2.292,10.75,-1.011,-3.673,-4.661,-3.654,4.683,2.125,15.72643172,-0.079927007
2007/1/3 14:00,NAN,4.349,12.29,0.518,-2.705,-4.046,-3.718,5.578,2.158,18.40440529,3.968248175
2007/1/3 15:00,NAN,4.988,11.66,1.353,-1.985,-3.369,-3.76,6.175,2.258,18.48722467,6.965693431
2007/1/3 16:00,NAN,4.956,10.04,1.504,-1.373,-3.003,-3.627,6.373,2.324,17.13656388,8.720437956
2007/1/3 17:00,NAN,4.192,7.14,1.472,-1.167,-2.595,-3.559,6.44,2.39,15.52070485,9.52189781
2007/1/3 18:00,NAN,2.231,3.52,0.865,-1.053,-2.29,-3.468,6.44,2.423,13.71145374,9.677007299
2007/1/3 19:00,NAN,0.026,-0.305,0.128,-0.762,-2.158,-3.113,6.373,2.456,11.9753304,9.491605839
2007/1/3 20:00,NAN,-2.914,-5.264,-1.091,-0.946,-1.98,-3.063,5.744,2.523,9.949339207,8.974817518
2007/1/3 21:00,NAN,-4.784,-8.13,-2.33,-1.362,-2.025,-2.929,4.782,2.524,7.265638767,8.081386861
2007/1/3 22:00,NAN,-5.506,-8.39,-3.325,-1.675,-2.047,-2.884,4.319,2.525,0.343612335,6.02189781
2007/1/3 23:00,NAN,-5.714,-8.31,-3.751,-2.351,-2.115,-2.815,4.12,2.525,-4.788986784,3.056569343
2007/1/4 0:00,NAN,-5.97,-8.79,-4.201,-2.917,-2.33,-2.846,3.922,2.526,-7.466519824,0.405474453
2007/1/4 1:00,NAN,-6.49,-9.07,-4.737,-3.22,-2.651,-2.593,3.822,2.46,-8.905726872,-1.752919708
2007/1/4 2:00,NAN,-6.846,-9.08,-5.211,-3.603,-2.866,-2.662,3.787,2.425,-10.1154185,-3.504744526
2007/1/4 3:00,NAN,-7.07,-9.34,-5.552,-4.031,-3.05,-2.72,3.657,2.427,-10.77621145,-4.934306569
2007/1/4 4:00,NAN,-7.51,-9.66,-5.843,-4.083,-3.269,-2.649,3.624,2.394,-10.57577093,-6.087226277
2007/1/4 5:00,NAN,-7.46,-10.09,-5.974,-4.595,-3.368,-2.792,3.59,2.394,-11.03436123,-6.828832117
2007/1/4 6:00,NAN,-7.97,-10.95,-6.398,-4.829,-3.619,-2.842,3.457,2.327,-11.86431718,-7.569343066
2007/1/4 7:00,NAN,-9.25,-12.28,-7.16,-4.878,-3.884,-2.718,3.391,2.261,-13.32819383,-8.502189781
2007/1/4 8:00,NAN,-10.03,-13.25,-7.62,-5.342,-4.061,-2.803,3.259,2.261,-14.30660793,-9.588686131
2007/1/4 9:00,NAN,-10.7,-13.76,-8.39,-5.664,-4.381,-2.783,3.193,2.228,-16.21982379,-10.75693431
2007/1/4 10:00,NAN,-8.54,-4.586,-7.54,-6.248,-4.397,-3.075,3.325,2.228,-13.70748899,-11.84927007
2007/1/4 11:00,NAN,-3.716,3.97,-4.961,-5.607,-4.641,-3.018,3.722,2.193,-1.927312775,-10.58978102
2007/1/4 12:00,NAN,0.335,8.8,-2.249,-4.555,-4.37,-3.187,4.153,2.226,8.528193833,-6.143430657
2007/1/4 13:00,NAN,3.174,11.74,-0.358,-3.27,-4.013,-3.136,4.882,2.225,15.26740088,-1.055109489
2007/1/4 14:00,NAN,5.078,13.28,1.132,-2.372,-3.421,-3.204,5.711,2.258,17.4969163,3.130656934
2007/1/4 15:00,NAN,5.706,12.62,1.807,-1.556,-2.974,-3.152,6.174,2.39,17.33568282,6.060948905
2007/1/4 16:00,NAN,5.531,10.42,2.046,-1.187,-2.537,-3.13,6.307,2.423,16.29779736,7.719708029
2007/1/4 17:00,NAN,4.316,7.37,1.656,-0.873,-2.222,-2.984,6.373,2.489,14.31013216,8.410583942
2007/1/4 18:00,NAN,2.549,2.974,1.115,-0.792,-1.847,-2.989,6.307,2.523,12.64405286,8.605109489
2007/1/4 19:00,NAN,-0.447,-2.121,0.02,-0.647,-1.741,-2.778,6.307,2.589,11.12731278,8.429927007
2007/1/4 20:00,NAN,-3.478,-5.864,-1.24,-0.709,-1.793,-2.6,5.38,2.59,9.337444934,8.124452555
2007/1/4 21:00,NAN,-4.439,-8.1,-2.12,-1.159,-1.467,-2.685,4.716,2.657,7.481938326,7.367883212
2007/1/4 22:00,NAN,-5.143,-8.79,-2.984,-1.449,-1.573,-2.674,4.319,2.625,1.785903084,5.863868613
2007/1/4 23:00,NAN,-6.205,-10.1,-3.834,-2.098,-1.752,-2.439,4.056,2.626,-5.168722467,3.182481752
2007/1/5 0:00,NAN,-7.52,-11.38,-4.659,-2.775,-1.999,-2.375,3.821,2.625,-10.10220264,0.26459854
2007/1/5 1:00,NAN,-8.73,-12.1,-5.87,-3.058,-2.411,-2.202,3.624,2.526,-13.72863436,-2.704014599
2007/1/5 2:00,NAN,-8.81,-12.77,-6.238,-3.931,-2.566,-2.434,3.458,2.46,-16.06035242,-5.484306569
2007/1/5 3:00,NAN,-9.36,-13.45,-6.832,-4.466,-2.777,-2.403,3.325,2.428,-17.30837004,-7.809854015
2007/1/5 4:00,NAN,-9.89,-13.82,-7.45,-4.936,-3.264,-2.41,3.226,2.394,-18.42378855,-9.700364964
2007/1/5 5:00,NAN,-10.29,-13.36,-7.98,-5.064,-3.749,-2.259,3.193,2.395,-18.22731278,-11.26605839
2007/1/5 6:00,NAN,-10.53,-13.84,-8.26,-5.483,-3.973,-2.401,3.127,2.329,-18.21938326,-12.2770073
2007/1/5 7:00,NAN,-10.88,-14.2,-8.65,-5.915,-4.247,-2.531,3.061,2.262,-18.4814978,-13.15255474
2007/1/5 8:00,NAN,-11.67,-15.4,-9.13,-6.142,-4.552,-2.516,3.027,2.196,-18.40352423,-13.73941606
2007/1/5 9:00,NAN,-11.98,-15.27,-9.66,-6.512,-4.812,-2.626,2.994,2.162,-19.18590308,-14.42591241
2007/1/5 10:00,NAN,-10.24,-7.81,-8.97,-6.977,-4.867,-2.737,3.061,2.129,-16.32643172,-15.20729927
2007/1/5 11:00,NAN,-6.307,0.879,-6.833,-6.515,-5.083,-2.869,3.359,2.128,-6.378854626,-14.11605839
2007/1/5 12:00,NAN,-0.463,10.43,-3.475,-5.636,-5.059,-2.991,3.921,2.127,5.663876652,-10.11131387
2007/1/5 13:00,NAN,4.718,17.41,-0.066,-3.89,-4.702,-2.969,5.214,2.159,17.92995595,-3.908394161
2007/1/5 14:00,NAN,5.399,14.23,1.419,-2.534,-3.939,-3.074,5.809,2.257,20.89162996,2.10729927
2007/1/5 15:00,NAN,6.157,13.51,2.076,-1.792,-3.184,-3.2,6.174,2.324,19.24889868,5.93649635
2007/1/5 16:00,NAN,6.212,11.51,2.279,-1.221,-2.782,-3.096,6.24,2.423,17.84889868,7.820072993
2007/1/5 17:00,NAN,4.838,7.92,2.033,-0.931,-2.355,-3.006,6.207,2.423,15.84361233,8.71350365
2007/1/5 18:00,NAN,2.828,3.31,1.192,-0.7,-2.037,-2.883,6.24,2.522,13.79427313,8.963868613
2007/1/5 19:00,NAN,-0.897,-2.526,-0.128,-0.475,-1.905,-2.668,6.142,2.59,11.94669604,8.806569343
2007/1/5 20:00,NAN,-4.124,-7.29,-1.434,-0.661,-1.705,-2.636,5.312,2.589,9.798678414,8.352919708
2007/1/5 21:00,NAN,-5.502,-9.32,-2.578,-1.073,-1.513,-2.635,4.548,2.622,7.906167401,7.582481752
2007/1/5 22:00,NAN,-6.56,-9.52,-3.781,-1.408,-1.89,-2.249,4.186,2.625,1.082378855,5.753284672
2007/1/5 23:00,NAN,-6.918,-10.79,-4.186,-2.474,-1.702,-2.615,3.855,2.625,-7.171365639,2.631751825
2007/1/6 0:00,NAN,-8.12,-11.85,-5.199,-2.854,-2.244,-2.302,3.623,2.593,-11.88414097,-0.676642336
2007/1/6 1:00,NAN,-8.99,-12.48,-6.121,-3.33,-2.458,-2.286,3.458,2.527,-14.98370044,-3.744890511
2007/1/6 2:00,NAN,-9.39,-13.49,-6.627,-4.153,-2.655,-2.432,3.326,2.461,-17.13700441,-6.456934307
2007/1/6 3:00,NAN,-10.21,-13.84,-7.57,-4.436,-3.241,-2.185,3.228,2.43,-18.55198238,-8.765328467
2007/1/6 4:00,NAN,-10.37,-14.55,-7.93,-5.201,-3.263,-2.445,3.128,2.396,-19.6814978,-10.67153285
2007/1/6 5:00,NAN,-10.55,-14.41,-8.2,-5.706,-3.674,-2.559,3.094,2.329,-19.68237885,-12.25036496
2007/1/6 6:00,NAN,-10.99,-14.84,-8.66,-6.04,-3.928,-2.574,3.027,2.262,-19.67004405,-13.32591241
2007/1/6 7:00,NAN,-11.57,-14.98,-9.18,-6.275,-4.533,-2.381,2.928,2.262,-19.66387665,-14.12153285
2007/1/6 8:00,NAN,-11.45,-14.32,-9.35,-6.49,-4.823,-2.405,2.928,2.229,-18.98193833,-14.62737226
2007/1/6 9:00,NAN,-11.3,-14.61,-9.42,-6.863,-4.81,-2.859,2.895,2.163,-18.22026432,-15.0459854
2007/1/6 10:00,NAN,-10.18,-7.66,-8.98,-7.07,-5.065,-2.794,2.994,2.162,-15.60660793,-15.25255474
2007/1/6 11:00,NAN,-6.2,0.922,-6.88,-6.529,-5.318,-2.788,3.259,2.128,-6.166079295,-14.0959854
2007/1/6 12:00,NAN,-0.976,8.78,-3.664,-5.589,-4.99,-3.169,3.855,2.127,5.324669604,-10.13613139
2007/1/6 13:00,NAN,3.266,14.08,-0.581,-4.25,-4.599,-3.199,4.617,2.159,16.09911894,-4.279927007
2007/1/6 14:00,NAN,5.789,15.56,1.417,-2.866,-3.926,-3.231,5.578,2.224,19.87004405,1.356934307
2007/1/6 15:00,NAN,6.255,13.74,2.087,-1.867,-3.353,-3.209,5.975,2.324,19.4061674,5.381021898
2007/1/6 16:00,NAN,5.928,10.88,2.226,-1.335,-2.831,-3.126,6.074,2.39,18.10484581,7.573357664
2007/1/6 17:00,NAN,4.558,7.47,1.89,-0.971,-2.416,-2.988,6.074,2.489,16.46872247,8.631021898
2007/1/6 18:00,NAN,2.323,2.891,1.022,-0.632,-2.146,-2.857,6.04,2.456,14.41938326,8.948905109
2007/1/6 19:00,NAN,-1.148,-2.35,-0.558,-0.343,-2.203,-2.273,5.942,2.589,12.05198238,8.851094891
2007/1/6 20:00,NAN,-2.741,-6.272,-1.003,-0.896,-1.318,-2.77,5.18,2.59,9.635682819,8.352189781
2007/1/6 21:00,NAN,-3.725,-7.02,-1.875,-1.378,-1.363,-2.788,4.582,2.623,7.407488987,7.342335766
2007/1/6 22:00,NAN,-5.116,-7.56,-2.991,-1.4,-1.924,-2.213,4.22,2.625,2.171806167,5.692335766
2007/1/6 23:00,NAN,-5.665,-7.32,-3.725,-1.631,-2.088,-2.09,4.021,2.625,-3.450220264,3.246715328
2007/1/7 0:00,NAN,-5.696,-6.556,-4.162,-1.771,-2.26,-1.992,3.855,2.625,-6.328193833,0.867518248
2007/1/7 1:00,NAN,-4.702,-6.273,-3.773,-2.527,-2.397,-2.061,3.789,2.592,-6.362555066,-1.095985401
2007/1/7 2:00,NAN,-6.229,-7.8,-4.525,-2.567,-2.594,-1.984,3.656,2.526,-7.274008811,-2.096715328
2007/1/7 3:00,NAN,-5.982,-9.3,-4.386,-3.365,-2.153,-2.634,3.556,2.459,-8.74185022,-3.309854015
