year,month,day,hour,VMC
2015,11,14,22,0.061825001
2015,11,14,23,0.061575001
2015,11,15,0,0.061100001
2015,11,15,1,0.060800001
2015,11,15,2,0.060800001
2015,11,15,3,0.060550001
2015,11,15,4,0.060425
2015,11,15,5,0.0603
2015,11,15,6,0.060175
2015,11,15,7,0.059799999
2015,11,15,8,0.05955
2015,11,15,9,0.059300002
2015,11,15,10,0.05955
2015,11,15,11,0.060550001
2015,11,15,12,0.061950001
2015,11,15,13,0.063324999
2015,11,15,14,0.064449999
2015,11,15,15,0.065200001
2015,11,15,16,0.065200001
2015,11,15,17,0.06495
2015,11,15,18,0.064449999
2015,11,15,19,0.063324999
2015,11,15,20,0.062450001
2015,11,15,21,0.061825001
2015,11,15,22,0.061450001
2015,11,15,23,0.061000001
2015,11,16,0,0.060800001
2015,11,16,1,0.060800001
2015,11,16,2,0.060800001
2015,11,16,3,0.060425
2015,11,16,4,0.0603
2015,11,16,5,0.059924999
2015,11,16,6,0.059799999
2015,11,16,7,0.060175
2015,11,16,8,0.06005
2015,11,16,9,0.059924999
2015,11,16,10,0.06005
2015,11,16,11,0.060775001
2015,11,16,12,0.0617
2015,11,16,13,0.062825002
2015,11,16,14,0.063824998
2015,11,16,15,0.064575
2015,11,16,16,0.0647
2015,11,16,17,0.0647
2015,11,16,18,0.064074999
2015,11,16,19,0.063075
2015,11,16,20,0.06195
2015,11,16,21,0.061325001
2015,11,16,22,0.060800001
2015,11,16,23,0.060425
2015,11,17,0,0.06005
2015,11,17,1,0.059799999
2015,11,17,2,0.059425001
2015,11,17,3,0.059300002
2015,11,17,4,0.059300002
2015,11,17,5,0.058800001
2015,11,17,6,0.058800001
2015,11,17,7,0.058675
2015,11,17,8,0.0583
2015,11,17,9,0.0583
2015,11,17,10,0.05855
2015,11,17,11,0.059675001
2015,11,17,12,0.060775001
2015,11,17,13,0.062325002
2015,11,17,14,0.063449997
2015,11,17,15,0.064074999
2015,11,17,16,0.064199999
2015,11,17,17,0.064199999
2015,11,17,18,0.063824998
2015,11,17,19,0.062700001
2015,11,17,20,0.061575001
2015,11,17,21,0.061100001
2015,11,17,22,0.060675001
2015,11,17,23,0.0603
2015,11,18,0,0.059924999
2015,11,18,1,0.059799999
2015,11,18,2,0.059300002
2015,11,18,3,0.059300002
2015,11,18,4,0.059300002
2015,11,18,5,0.059175001
2015,11,18,6,0.058800001
2015,11,18,7,0.058800001
2015,11,18,8,0.05855
2015,11,18,9,0.0583
2015,11,18,10,0.05855
2015,11,18,11,0.059675001
2015,11,18,12,0.060875
2015,11,18,13,0.062200001
2015,11,18,14,0.063199999
2015,11,18,15,0.063949998
2015,11,18,16,0.064324999
2015,11,18,17,0.064199999
2015,11,18,18,0.063824998
2015,11,18,19,0.062824999
2015,11,18,20,0.061825001
2015,11,18,21,0.061100001
2015,11,18,22,0.060675001
2015,11,18,23,0.0603
2015,11,19,0,0.060175
2015,11,19,1,0.059799999
2015,11,19,2,0.05955
2015,11,19,3,0.059300002
2015,11,19,4,0.059300002
2015,11,19,5,0.059300002
2015,11,19,6,0.059175001
2015,11,19,7,0.058800001
2015,11,19,8,0.058800001
2015,11,19,9,0.058800001
2015,11,19,10,0.058925001
2015,11,19,11,0.0598
2015,11,19,12,0.061125001
2015,11,19,13,0.062325002
2015,11,19,14,0.063699998
2015,11,19,15,0.064575
2015,11,19,16,0.065075001
2015,11,19,17,0.064825
2015,11,19,18,0.064324999
2015,11,19,19,0.063199999
2015,11,19,20,0.062074999
2015,11,19,21,0.061450001
2015,11,19,22,0.060900001
2015,11,19,23,0.060425
2015,11,20,0,0.0603
2015,11,20,1,0.059799999
2015,11,20,2,0.059799999
2015,11,20,3,0.059425001
2015,11,20,4,0.059300002
2015,11,20,5,0.059300002
2015,11,20,6,0.059175001
2015,11,20,7,0.058800001
2015,11,20,8,0.058800001
2015,11,20,9,0.058800001
2015,11,20,10,0.058925001
2015,11,20,11,0.0598
2015,11,20,12,0.061000001
2015,11,20,13,0.062450001
2015,11,20,14,0.063699998
2015,11,20,15,0.064199999
2015,11,20,16,0.064199999
2015,11,20,17,0.064199999
2015,11,20,18,0.063949998
2015,11,20,19,0.063324999
2015,11,20,20,0.062325
2015,11,20,21,0.061700001
2015,11,20,22,0.061100001
2015,11,20,23,0.060800001
2015,11,21,0,0.060800001
2015,11,21,1,0.060800001
2015,11,21,2,0.0603
2015,11,21,3,0.0603
2015,11,21,4,0.059924999
2015,11,21,5,0.059799999
2015,11,21,6,0.05955
2015,11,21,7,0.059300002
2015,11,21,8,0.059300002
2015,11,21,9,0.059300002
2015,11,21,10,0.059425001
2015,11,21,11,0.0603
2015,11,21,12,0.061475
2015,11,21,13,0.06295
2015,11,21,14,0.063949998
2015,11,21,15,0.0647
2015,11,21,16,0.0647
2015,11,21,17,0.064199999
2015,11,21,18,0.063699998
2015,11,21,19,0.063075
2015,11,21,20,0.06195
2015,11,21,21,0.061325001
2015,11,21,22,0.060900001
2015,11,21,23,0.060550001
2015,11,22,0,0.0603
2015,11,22,1,0.0603
2015,11,22,2,0.059924999
2015,11,22,3,0.059799999
2015,11,22,4,0.05955
2015,11,22,5,0.059300002
2015,11,22,6,0.059300002
2015,11,22,7,0.059050001
2015,11,22,8,0.058800001
2015,11,22,9,0.058800001
2015,11,22,10,0.058925001
2015,11,22,11,0.059675001
2015,11,22,12,0.061125001
2015,11,22,13,0.062325002
2015,11,22,14,0.063699998
2015,11,22,15,0.064449999
2015,11,22,16,0.0647
2015,11,22,17,0.064575
2015,11,22,18,0.063949998
2015,11,22,19,0.06295
2015,11,22,20,0.062074999
2015,11,22,21,0.061450001
2015,11,22,22,0.0612
2015,11,22,23,0.061000001
2015,11,23,0,0.060800001
2015,11,23,1,0.060675001
2015,11,23,2,0.0603
2015,11,23,3,0.0603
2015,11,23,4,0.059924999
2015,11,23,5,0.059924999
2015,11,23,6,0.059799999
2015,11,23,7,0.059675
2015,11,23,8,0.059300002
2015,11,23,9,0.059300002
2015,11,23,10,0.059425001
2015,11,23,11,0.060175
2015,11,23,12,0.061125001
2015,11,23,13,0.062200001
2015,11,23,14,0.062700003
2015,11,23,15,0.063074999
2015,11,23,16,0.062700003
2015,11,23,17,0.062700003
2015,11,23,18,0.062575002
2015,11,23,19,0.062074999
2015,11,23,20,0.061700001
2015,11,23,21,0.061575001
2015,11,23,22,0.0612
2015,11,23,23,0.060800001
2015,11,24,0,0.060800001
2015,11,24,1,0.060675001
2015,11,24,2,0.0603
2015,11,24,3,0.06005
2015,11,24,4,0.059924999
2015,11,24,5,0.059799999
2015,11,24,6,0.059675
2015,11,24,7,0.059425001
2015,11,24,8,0.059300002
2015,11,24,9,0.059300002
2015,11,24,10,0.059425001
2015,11,24,11,0.0603
2015,11,24,12,0.061575
2015,11,24,13,0.06295
2015,11,24,14,0.064199999
2015,11,24,15,0.0647
2015,11,24,16,0.0647
2015,11,24,17,0.0647
2015,11,24,18,0.064074999
2015,11,24,19,0.063199999
2015,11,24,20,0.062700003
2015,11,24,21,0.062199999
2015,11,24,22,0.061700001
2015,11,24,23,0.061700001
2015,11,25,0,0.0612
2015,11,25,1,0.061000001
2015,11,25,2,0.060800001
2015,11,25,3,0.060800001
2015,11,25,4,0.060550001
2015,11,25,5,0.0603
2015,11,25,6,0.06005
2015,11,25,7,0.059799999
2015,11,25,8,0.059799999
2015,11,25,9,0.059799999
2015,11,25,10,0.059799999
2015,11,25,11,0.060550001
2015,11,25,12,0.0617
2015,11,25,13,0.062949999
2015,11,25,14,0.064074999
2015,11,25,15,0.064324999
